comentario,etiqueta
Tenía fe que Lara hable de sus propuestas jaja,no_aporte
Huyyy apareció el dinosaurio ORTIZ,aporte
Se ve que estudiaste antes de entrar al debate.,aporte
Ni uno esta preparado,no_aporte
Es un honor verte defender principios que nos unen.,aporte
En 2020 se callaron,no_aporte
Son lo mismo,no_aporte
La mayoria no tiene empleo,aporte
Patada voladora Gano Lara,no_aporte
"No permitas que te silencien, tu voz es necesaria.",aporte
Les falta experiencia,no_aporte
💪 Sus ideas son realistas y centradas en la gente.,aporte
Nos das motivos para creer en la política.,aporte
Es bueno que se digan sus verdades así para saber por quién votaremos,aporte
otro gooooooool,no_aporte
"Sigue firme, tu visión marca la diferencia.",aporte
El país te necesita y tú estás respondiendo.,aporte
💬 Sus respuestas fueron claras y directas.,aporte
"💬 Se mantiene coherente en todo momento, eso es importante.",aporte
💡 Explica los temas complejos de manera sencilla.,aporte
Jajajajajaja,no_aporte
Lo es,no_aporte
Con tu voz crece la esperanza ciudadana.,aporte
Gracias por no evadir ninguna pregunta,aporte
"Muy buena respuesta, ¡vamos con todo!",no_aporte
"Habla con datos, no con slogans.",aporte
"Gran intervención, sigue así.",no_aporte
"❤️ Sus respuestas son claras y directas, muy confiables.",aporte
Gollllllllll,no_aporte
💡 Buen enfoque en la juventud y el desarrollo social.,aporte
Se nota tu amor por Bolivia en cada palabra 💚,aporte
Gracias por llamar a la unidad nacional.,aporte
"Valoro tu coherencia, eres la opción que necesitamos.",aporte
"Con tu claridad, muchos despiertan.",aporte
¡Qué nivel técnico y político!,aporte
Prestar y prestar,no_aporte
Esa propuesta de reforma me gustó mucho.,aporte
"Con tu talante, puedes unir a Bolivia",aporte
🌿 Muy acertadas sus ideas sobre desarrollo regional.,aporte
"Sigue firme, tu compromiso inspira.",aporte
🌟 Sus ideas son claras y prácticas.,aporte
Gracias por comprometerte con la transparencia.,aporte
gollllllllll,no_aporte
Fuerza capitán 💪 Lara 💪 🦁,no_aporte
🌟 Su mensaje es constructivo y motivador.,aporte
20 años ya,no_aporte
No masones en la politica,aporte
"Así se representa a la gente, con respeto y claridad.",aporte
Si son masones,no_aporte
No sabe lo q habla este lary,aporte
👏 Un candidato que escucha y entiende las necesidades de la gente.,aporte
Te mereces todo nuestro apoyo.,aporte
Vamos capitán,no_aporte
🤔 Muy interesante lo que dijo sobre el desarrollo regional.,aporte
Vamos capii🇧🇴👏,no_aporte
Esa propuesta puede transformar la realidad.,aporte
Opa,no_aporte
"El que no es racista del Lari, atacó a los pacientes de cáncer pedimos disculpas públicas",aporte
Que vergüenza Lara,no_aporte
Tienes mucha visión Juan Pablo,aporte
NECESITO ESCUCHAR SUS PROPUESTAS POR FAVOR 📝🧐,aporte
✨ Velasco y la Alianza Libre muestran preparación y seriedad.,aporte
Jp mostrenco,no_aporte
1ro? El unico,no_aporte
Bien dicho Lara,no_aporte
Buenas vibras JP sos el mejor,aporte
🌟 Su mensaje es constructivo y motivador.,aporte
VAMOS CON LA PRIVATIZACION DE ÁGUA VAMOS TUTO Y VAMOS AL RASISMO.,no_aporte
ese mensaje quedó claro para todos.,aporte
"PEDIMOS A LOS DOS CANDIDATOS CAMBIEN EL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA, PARA TRANSPARENTAR Y PARA MEJOR ACCESIBILIDAD DE LA CIUDADANIA A LOS LEGISLADORES",aporte
Q opa,no_aporte
PAZ Y LARA 🐓🦫❤️💛💚🇧🇴,no_aporte
Dios mío 😡 da vergüenza escuchar esto,aporte
Hablas sobre el progreso del País JP,aporte
"A todos los comentarios, si ven que ninguno tiene mayoria en la asamblea, quien creen tiene capacidad de realizar acuerdos el que se la pasa con propuestas o el que se la pasa insultando",aporte
No sabe que es réplica !!,aporte
Vamos Lara 💪,no_aporte
